idx,v0_x,v0_y,v1_x,v1_y,order
23,-18.683847602730523,-28.24901399256569,-18.91526029597695,-27.656849014727833,
23,-18.683847602730523,-28.24901399256569,-18.16641825587047,-27.36289109428924,
23,-18.683847602730523,-28.24901399256569,-14.35827033425463,-26.286581317986748,
23,-18.683847602730523,-28.24901399256569,-13.452364530084893,-26.829975290486896,
23,-18.683847602730523,-28.24901399256569,-26.27990506016918,-26.310846560033,
23,-18.683847602730523,-28.24901399256569,-10.187253237807518,-28.628410460512107,
23,-18.683847602730523,-28.24901399256569,-7.936212180862565,-28.32809082800281,
24,-8.318101392801896,3.9562930430258305,-7.639908421754367,1.2763849758964305,
24,-8.318101392801896,3.9562930430258305,-10.868171354563387,2.5956699854603613,
24,-8.318101392801896,3.9562930430258305,-11.847938245626146,6.229071231337066,
24,-8.318101392801896,3.9562930430258305,-13.481925391057624,2.897572234118904,
24,-8.318101392801896,3.9562930430258305,-14.091625542430094,6.409083400294513,
24,-8.318101392801896,3.9562930430258305,-3.8822500074946866,-0.6673493695618831,
24,-8.318101392801896,3.9562930430258305,-1.9382370352712073,1.415109974823551,
25,-3.8822500074946866,-0.6673493695618831,-1.2545844838210591,-1.6744949368523798,
25,-3.8822500074946866,-0.6673493695618831,-1.9382370352712073,1.415109974823551,
25,-3.8822500074946866,-0.6673493695618831,-7.639908421754367,1.2763849758964305,
25,-3.8822500074946866,-0.6673493695618831,-0.14083918403812845,-3.196347072701297,
25,-3.8822500074946866,-0.6673493695618831,-3.7408582691083296,-5.536270676803078,
25,-3.8822500074946866,-0.6673493695618831,1.6896129446807677,1.8292122655675591,
25,-3.8822500074946866,-0.6673493695618831,-8.318101392801896,3.9562930430258305,
26,10.181666173644956,-12.677699725459338,11.628539991424262,-13.074137234661062,
26,10.181666173644956,-12.677699725459338,11.725768398565684,-12.35949902021446,
26,10.181666173644956,-12.677699725459338,9.644438065184872,-14.253720004439987,
26,10.181666173644956,-12.677699725459338,9.043766713776968,-10.782779437094444,
26,10.181666173644956,-12.677699725459338,12.336091698516327,-14.465098206304353,
26,10.181666173644956,-12.677699725459338,13.249034753775327,-13.839288352825635,
26,10.181666173644956,-12.677699725459338,11.596430495940993,-16.348581663020834,
