time,x,y,theta,Vx,Vy,Vlin,Vang,cur_cell,is_go_to_base,is_tangent_movement,is_vertical_movement,is_up,is_down,is_go_to_next_cell
415300000000,10.724169441830014,-19.045142235466102,0.0,0.19156113311759926,0.05748332174380161,0.19156113311759926,0.0,8,False,True,False,False,True,False
415300000000,10.724169441830014,-19.045142235466102,0.0,0.19156113311759926,0.05748332174380161,0.19156113311759926,0.0,8,False,True,False,False,True,False
415400000000,10.743430549988059,-19.039756168949232,0.0,0.19025011348744703,0.061683825416502316,0.19025011348744703,0.0,8,False,True,False,False,True,False
415400000000,10.743430549988059,-19.039756168949232,0.0,0.19025011348744703,0.061683825416502316,0.19025011348744703,0.0,8,False,True,False,False,True,False
415500000000,10.76258666329982,-19.03400783677485,0.0,0.19005529162143797,0.0622815071003438,0.19005529162143797,0.0,8,False,True,False,False,True,False
415500000000,10.76258666329982,-19.03400783677485,0.0,0.19005529162143797,0.0622815071003438,0.19005529162143797,0.0,8,False,True,False,False,True,False
415600000000,10.781611674648564,-19.027839454233202,0.0,0.198593761833674,0.0236752562974505,0.198593761833674,0.0,8,False,True,False,False,True,False
415600000000,10.781611674648564,-19.027839454233202,0.0,0.198593761833674,0.0236752562974505,0.198593761833674,0.0,8,False,True,False,False,True,False
415700000000,10.800617203810708,-19.02161130352317,0.0,0.19811198195712681,0.027416101200190016,0.19811198195712681,0.0,8,False,True,False,False,True,False
415700000000,10.800617203810708,-19.02161130352317,0.0,0.19811198195712681,0.027416101200190016,0.19811198195712681,0.0,8,False,True,False,False,True,False
415800000000,10.820476579994075,-19.019243777893426,0.0,0.19775164004891765,0.02990466281306825,0.19775164004891765,0.0,8,False,True,False,False,True,False
415800000000,10.820476579994075,-19.019243777893426,0.0,0.19775164004891765,0.02990466281306825,0.19775164004891765,0.0,8,False,True,False,False,True,False
415900000000,10.840287778189788,-19.016502167773407,0.0,0.197257262503396,0.033008671431403146,0.197257262503396,0.0,8,False,True,False,False,True,False
415900000000,10.840287778189788,-19.016502167773407,0.0,0.197257262503396,0.033008671431403146,0.197257262503396,0.0,8,False,True,False,False,True,False
416000000000,10.86006294219468,-19.0135117014921,0.0,0.19671416597127378,0.03610452750315618,0.19671416597127378,0.0,8,False,True,False,False,True,False
416000000000,10.86006294219468,-19.0135117014921,0.0,0.19671416597127378,0.03610452750315618,0.19671416597127378,0.0,8,False,True,False,False,True,False
416100000000,10.87978866844502,-19.01021083434896,0.0,0.1961224845876005,0.03919146640770674,0.1961224845876005,0.0,8,False,True,False,False,True,False
416100000000,10.87978866844502,-19.01021083434896,0.0,0.1961224845876005,0.03919146640770674,0.1961224845876005,0.0,8,False,True,False,False,True,False
416200000000,10.899460085042147,-19.006600381598645,0.0,0.19561425618773823,0.04165408474709196,0.19561425618773823,0.0,8,False,True,False,False,True,False
416200000000,10.899460085042147,-19.006600381598645,0.0,0.19561425618773823,0.04165408474709196,0.19561425618773823,0.0,8,False,True,False,False,True,False
416300000000,10.919072333500907,-19.002681234957873,0.0,0.19479396376761715,0.045335545432918976,0.19479396376761715,0.0,8,False,True,False,False,True,False
416300000000,10.919072333500907,-19.002681234957873,0.0,0.19479396376761715,0.045335545432918976,0.19479396376761715,0.0,8,False,True,False,False,True,False
